,filename,fold,target,category,esc10,src_file,take,broadclass,b_idx
0,1-100032-A-0.wav,1,0,dog,True,100032,A,Animals,0
1,1-100032-A-0.wav,1,0,dog,True,100032,A,Natural_soundscapes_&_water_sounds,1
2,1-110389-A-0.wav,1,0,dog,True,110389,A,Animals,0
3,1-110389-A-0.wav,1,0,dog,True,110389,A,Natural_soundscapes_&_water_sounds,1
4,1-30226-A-0.wav,1,0,dog,True,30226,A,Animals,0
5,1-30226-A-0.wav,1,0,dog,True,30226,A,Natural_soundscapes_&_water_sounds,1
6,1-30344-A-0.wav,1,0,dog,True,30344,A,Animals,0
7,1-30344-A-0.wav,1,0,dog,True,30344,A,Natural_soundscapes_&_water_sounds,1
8,1-32318-A-0.wav,1,0,dog,True,32318,A,Animals,0
9,1-32318-A-0.wav,1,0,dog,True,32318,A,Natural_soundscapes_&_water_sounds,1
10,1-59513-A-0.wav,1,0,dog,True,59513,A,Animals,0
11,1-59513-A-0.wav,1,0,dog,True,59513,A,Natural_soundscapes_&_water_sounds,1
12,1-85362-A-0.wav,1,0,dog,True,85362,A,Animals,0
13,1-85362-A-0.wav,1,0,dog,True,85362,A,Natural_soundscapes_&_water_sounds,1
14,1-97392-A-0.wav,1,0,dog,True,97392,A,Animals,0
15,1-97392-A-0.wav,1,0,dog,True,97392,A,Natural_soundscapes_&_water_sounds,1
16,2-114280-A-0.wav,2,0,dog,True,114280,A,Animals,0
17,2-114280-A-0.wav,2,0,dog,True,114280,A,Natural_soundscapes_&_water_sounds,1
18,2-114587-A-0.wav,2,0,dog,True,114587,A,Animals,0
19,2-114587-A-0.wav,2,0,dog,True,114587,A,Natural_soundscapes_&_water_sounds,1
20,2-116400-A-0.wav,2,0,dog,True,116400,A,Animals,0
21,2-116400-A-0.wav,2,0,dog,True,116400,A,Natural_soundscapes_&_water_sounds,1
22,2-117271-A-0.wav,2,0,dog,True,117271,A,Animals,0
23,2-117271-A-0.wav,2,0,dog,True,117271,A,Natural_soundscapes_&_water_sounds,1
